Id,Compagnie/Airline,Code IATA/  IATA code,Code OACI/  ICAO code,Pays/Country,Website,Remarques/Remarks
266.0,AIRWORK,NZ,PST,Nouvelle Zélande/New Zealand,www.airwork.co.nz,
267.0,AIRWORLD,RL,AWD,Grande Bretagne/U.K.,,Fusionna avec Flying Colours en octobre 1998/Merged with Flying Colours in October 1998
268.0,AJET AIRWAYS,,AJY,Chypre/Cyprus,,A cessé les opérations le 1er novembre 2006/Ceased operations on 1 November 2006.
269.0,AKDENIZ AIRLINES,,AKD,Turquie/Turkey,,Fin des opérations : 1995 / Date of end of operations : 1995
270.0,AKLAK AIR,6L,AKK,Canada,www.aklakair.ca,
271.0,ALASKA AIRLINES,AS,ASA,USA,www.alaskaair.com,
272.0,ALASKA CENTRAL EXPRESS,KO,AER,USA,www.aceaircargo.com,
273.0,ALBANIAN AIRLINES,LV,LBC,Albanie/Albania,www.albanianairlines.com.al,Fin des opérations : 10 novembre 2011 / Date of end of operations : 10 November 2011
274.0,ALBATROS AIRWAYS,4H,LBW,Albanie/Albania,www.albatrosairways.info,
275.0,ALBATROS HAVA YOLLARI,8Z,ABK,Turquie/Turkey,,Fin des opérations : 1997 / Date of end of operations : 1997
276.0,ALBERTA CITYLINK,,ABK,Canada,www.barxh.com/commuter.htm,
277.0,AL-DAWOOD AIR,,LIE,Nigéria/Nigeria,www.aldawoodgroup.com,
278.0,ALEXANDAIR,,AXN,Grèce/Greece,,Fin des opérations : 31 juillet 2007 / Date of end of operations : 31 July 2007
280.0,ALIADRIATICA,AP,APH,Italie/Italia,,Rebaptisée Air One en 1995/Rebranded Air One in 1995
281.0,ALIDAUNIA,D4,LID,Italie/Italia,www.alidaunia.it,
283.0,ALISARDA,IG,ISS,Italie/Italia,,Rebaptisée Meridiana fin 1992/Rebranded Meridiana at the end of 1992
284.0,ALITALIA,AZ,AZA,Italie/Italia,www.alitalia.com,
285.0,ALITALIA EXPRESS,XM,SMX,Italie/Italia,www.alitalia.it,
286.0,AL-KHAYALA,XY,KNE,Arabie Saoudite/Saudi Arabia,www.al-khayala.com,
287.0,ALL CANADA EXPRESS,,CNX,Canada,,Fin des opérations : 2005 / Date of end of operations : 2005
288.0,ALLIANCE AIR,CD,LLR,Inde/India,,Fin des opérations : 1 octobre 2007 / Date of end of operations : 1 October 2007
290.0,ALPI EAGLES,E8,ELG,Italie/Italia,,Fin des opérations : 31 décembre 2007 / Date of end of operations : 31 December 2007
292.0,ALROSA AVIA,,LRO,Russie/Russia,www.alrosaavia.com,
293.0,ALTA FLIGHTS,AL,ALZ,Canada,www.altaflights.com,
295.0,AMADEUS AIR,AM,AMU,Autriche/Austria,,Fin des opérations : février 1995 / Date of end of operations : February 1995
296.0,AMAKUSA AIRLINES,,AHX,Japon/Japan,www.amx.co.jp,
297.0,AMBASSADOR AIRWAYS,B3,AMY,Grande Bretagne/U.K.,,Fin des opérations : 1994 / Date of end of operations : 1994
298.0,AMBER AIR,OA,GNT,Lituanie/Lithuania,www.amberair.lt,Fin des opérations : mars 2007 / Date of end of operations : March 2007
300.0,AMC AIRLINES,YJ,AMV,Egypte/Egypt,,
301.0,AMERER AIR,,AMK,Autriche/Austria,www.amererair.com,
302.0,AMERICA WEST AIRLINES,HP,AWE,USA,,Fusionnée avec US Airways en 2007/Absorbed into US Airways in 2007
304.0,AMERICAN AIRLINES,AA,AAL,USA,www.aa.com,
305.0,AMERICAN EAGLE AIRLINES,MQ,EGF,USA,www.aa.com,
